respid,WEIGHT,party,age_cat,educ,urbanicity,state,solar_general,solar_local,wind_local,solar_farm_nearby,main_concern
10037,0.8178,Democrat,50-64,High school or less,Urban,Missouri,Strongly favor,Somewhat oppose,Somewhat oppose,Yes,Worried about property values
10038,0.5235,Democrat,30-49,College graduate or more,Urban,Texas,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
10039,2.4075,Democrat,18-29,High school or less,Rural,Oklahoma,Strongly favor,Strongly favor,Somewhat favor,Yes,No concerns
10040,1.2483,Independent,65+,High school or less,Suburban,Kansas,Strongly oppose,Strongly oppose,Strongly oppose,Yes,Uses too much land
10041,0.8464,Republican,30-49,Some college,Suburban,Texas,Somewhat oppose,Strongly oppose,Somewhat oppose,No,Doubts it is reliable
10042,1.6937,Republican,30-49,High school or less,Rural,Oklahoma,Strongly favor,Somewhat oppose,Strongly oppose,No,Worried about property values
10043,0.6834,Republican,50-64,Some college,Urban,Texas,Strongly oppose,Somewhat favor,Strongly oppose,No,No concerns
10044,1.0364,Independent,50-64,Some college,Rural,Texas,Somewhat favor,Strongly oppose,99,No,Changes how the area looks
10045,2.3179,Independent,18-29,High school or less,Suburban,Arkansas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10046,0.9812,Independent,30-49,High school or less,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,Changes how the area looks
10047,0.7136,Republican,50-64,College graduate or more,Rural,Missouri,Strongly oppose,Strongly oppose,Somewhat oppose,Yes,Worried about property values
10048,0.3669,Democrat,50-64,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10049,0.7602,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Strongly oppose,No,Worried about property values
10050,0.7161,Independent,65+,College graduate or more,Rural,Texas,Strongly favor,Strongly oppose,Strongly oppose,Yes,Worried about property values
10051,0.6291,Republican,65+,Some college,Suburban,Texas,Somewhat favor,Strongly oppose,Somewhat favor,No,Uses too much land
10052,0.5675,Independent,50-64,High school or less,Suburban,Texas,Somewhat favor,Strongly oppose,Somewhat oppose,No,Worried about property values
10053,0.9283,Republican,18-29,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10054,1.218,Independent,65+,High school or less,Rural,Oklahoma,Strongly favor,Strongly favor,Strongly oppose,No,No concerns
10055,1.3452,Democrat,18-29,Some college,Suburban,Arkansas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Worried about property values
10056,0.3424,Republican,65+,College graduate or more,Urban,Oklahoma,Strongly favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
10057,1.58,Republican,18-29,High school or less,Suburban,Louisiana,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10058,0.7153,Independent,50-64,College graduate or more,Rural,Oklahoma,Strongly favor,Somewhat favor,Somewhat oppose,No,No concerns
10059,0.6428,Democrat,30-49,Some college,Suburban,Louisiana,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10060,0.7261,Democrat,50-64,High school or less,Urban,Arkansas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10061,0.4017,Republican,65+,College graduate or more,Urban,Missouri,Somewhat favor,Strongly oppose,Somewhat oppose,No,Doubts it is reliable
10062,0.7559,Republican,30-49,College graduate or more,Suburban,Arkansas,Somewhat oppose,Strongly favor,Somewhat oppose,No,Uses too much land
10063,1.7297,Republican,18-29,Some college,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,Uses too much land
10064,0.9352,Democrat,30-49,Some college,Urban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
10065,0.4761,Democrat,50-64,College graduate or more,Rural,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10066,0.3813,Democrat,50-64,College graduate or more,Rural,Oklahoma,Strongly favor,Somewhat favor,Somewhat favor,No,Uses too much land
10067,0.4836,Republican,65+,Some college,Urban,Arkansas,Somewhat favor,Somewhat favor,Somewhat favor,No,Uses too much land
10068,0.6813,Democrat,50-64,Some college,Urban,Oklahoma,Somewhat favor,99,Somewhat favor,No,Uses too much land
10069,0.8421,Democrat,30-49,Some college,Suburban,Arkansas,Strongly favor,Strongly favor,Somewhat favor,No,No concerns
10070,2.2275,Independent,18-29,High school or less,Suburban,Kansas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10071,0.6934,Democrat,30-49,College graduate or more,Suburban,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,Yes,Worried about property values
10072,0.9617,Independent,18-29,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10073,0.665,Independent,30-49,College graduate or more,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10074,1.0222,Republican,50-64,Some college,Suburban,Texas,Somewhat oppose,Strongly favor,Somewhat favor,No,No concerns
10075,2.042,Independent,18-29,High school or less,Rural,Louisiana,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10076,0.8436,Republican,65+,High school or less,Suburban,Texas,Somewhat favor,Strongly oppose,Somewhat oppose,No,Something else
10077,0.7601,Democrat,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat oppose,No,Worried about property values
10078,0.8406,Independent,50-64,Some college,Urban,Texas,Strongly favor,Strongly oppose,Somewhat oppose,No,Uses too much land
10079,1.9249,Independent,18-29,Some college,Urban,Louisiana,Strongly favor,Somewhat favor,Somewhat oppose,No,Something else
10080,0.3891,Democrat,65+,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,Changes how the area looks
10081,0.3839,Democrat,50-64,College graduate or more,Urban,Kansas,Somewhat favor,Somewhat favor,Somewhat oppose,Yes,Changes how the area looks
10082,0.4809,Democrat,50-64,College graduate or more,Urban,Arkansas,Somewhat favor,Somewhat favor,Somewhat favor,No,Uses too much land
10083,0.9114,Republican,30-49,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly oppose,Yes,Uses too much land
10084,0.4263,Democrat,50-64,College graduate or more,Suburban,Texas,Strongly favor,Somewhat favor,99,No,No concerns
10085,1.0293,Republican,30-49,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Somewhat oppose,Yes,Changes how the area looks
10086,1.1577,Independent,50-64,High school or less,Urban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,Uses too much land
10087,0.6113,Democrat,30-49,College graduate or more,Suburban,Missouri,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10088,1.964,Independent,30-49,High school or less,Urban,Oklahoma,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
10089,0.5692,Democrat,50-64,Some college,Suburban,Oklahoma,Somewhat favor,Strongly favor,Somewhat favor,No,Uses too much land
10090,1.0043,Independent,65+,High school or less,Urban,Kansas,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
10091,0.7122,Independent,50-64,Some college,Urban,Texas,Strongly oppose,Somewhat oppose,Somewhat favor,No,Worried about property values
10092,1.6317,Republican,30-49,High school or less,Urban,Texas,Strongly favor,Strongly favor,Strongly oppose,No,No concerns
10093,3.0825,Republican,18-29,High school or less,Rural,Louisiana,Strongly oppose,Somewhat oppose,Somewhat oppose,Yes,Changes how the area looks
10094,0.7925,Republican,30-49,College graduate or more,Suburban,Missouri,Strongly favor,Strongly oppose,Somewhat oppose,No,Changes how the area looks
10095,2.5411,Republican,18-29,High school or less,Urban,Kansas,Somewhat favor,99,Somewhat oppose,No,Changes how the area looks
10096,0.4319,Republican,50-64,College graduate or more,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly favor,No,Changes how the area looks
10097,0.7594,Republican,50-64,Some college,Suburban,Texas,Strongly favor,Strongly oppose,Somewhat favor,No,Uses too much land
10098,0.9005,Republican,65+,High school or less,Suburban,Texas,Somewhat oppose,Somewhat favor,Strongly oppose,No,Changes how the area looks
10099,0.8751,Republican,50-64,Some college,Rural,Arkansas,Somewhat favor,Somewhat favor,Somewhat oppose,No,Changes how the area looks
10100,1.1121,Democrat,30-49,High school or less,Rural,Texas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10101,1.4436,Democrat,50-64,High school or less,Urban,Louisiana,Somewhat favor,Somewhat favor,Strongly favor,No,Worried about property values
10102,1.136,Independent,65+,High school or less,Suburban,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,Yes,Uses too much land
10103,1.6008,Republican,30-49,High school or less,Urban,Texas,Somewhat oppose,Strongly oppose,Somewhat oppose,No,Uses too much land
10104,0.3188,Independent,65+,College graduate or more,Suburban,Arkansas,Somewhat favor,Somewhat favor,Strongly oppose,Yes,No concerns
10105,1.069,Independent,30-49,College graduate or more,Rural,Oklahoma,Somewhat favor,99,Strongly oppose,Yes,Uses too much land
10106,1.6192,Republican,18-29,Some college,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly oppose,No,Uses too much land
10107,1.1143,Democrat,50-64,Some college,Rural,Louisiana,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10108,0.7446,Republican,30-49,College graduate or more,Urban,Arkansas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
10109,0.5252,Democrat,50-64,Some college,Suburban,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,Something else
10110,1.174,Democrat,18-29,Some college,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
10111,0.5287,Independent,65+,Some college,Suburban,Texas,Strongly oppose,Somewhat favor,Somewhat favor,No,No concerns
10112,0.4424,Democrat,65+,Some college,Urban,Texas,Strongly favor,Somewhat oppose,Somewhat favor,No,Uses too much land
10113,1.2093,Independent,30-49,High school or less,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
10114,0.7274,Democrat,50-64,Some college,Suburban,Texas,Somewhat oppose,Strongly favor,Strongly favor,No,Uses too much land
10115,1.1987,Independent,30-49,High school or less,Suburban,Arkansas,Strongly favor,Strongly favor,Strongly oppose,No,Uses too much land
10116,0.5089,Independent,30-49,College graduate or more,Suburban,Texas,Strongly favor,Somewhat favor,Strongly oppose,No,Something else
10117,1.048,Democrat,50-64,High school or less,Urban,Arkansas,Strongly favor,Somewhat favor,Strongly favor,Yes,No concerns
10118,2.3604,Democrat,18-29,High school or less,Urban,Louisiana,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10119,0.8421,Independent,65+,High school or less,Suburban,Texas,Somewhat favor,Strongly favor,Strongly oppose,No,No concerns
10120,0.5519,Republican,65+,College graduate or more,Rural,Arkansas,Somewhat favor,Strongly oppose,Somewhat oppose,No,Changes how the area looks
10121,0.6418,Democrat,30-49,Some college,Suburban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Uses too much land
10122,0.4007,Republican,65+,College graduate or more,Urban,Texas,Somewhat oppose,Strongly oppose,Somewhat oppose,No,Something else
10123,1.0042,Republican,18-29,Some college,Suburban,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,Yes,No concerns
10124,0.5988,Independent,30-49,College graduate or more,Rural,Kansas,Somewhat favor,Somewhat oppose,Somewhat oppose,Yes,Uses too much land
10125,1.106,Democrat,30-49,Some college,Rural,Arkansas,Somewhat favor,Strongly favor,Strongly favor,No,Changes how the area looks
10126,1.4571,Republican,30-49,High school or less,Rural,Arkansas,Strongly oppose,Strongly oppose,Strongly oppose,No,Changes how the area looks
10127,0.9621,Democrat,50-64,High school or less,Rural,Louisiana,Somewhat favor,Somewhat favor,Strongly favor,Yes,No concerns
10128,1.1985,Democrat,18-29,College graduate or more,Rural,Texas,Strongly favor,Strongly favor,Strongly oppose,Yes,Worried about property values
10129,0.8147,Independent,30-49,College graduate or more,Rural,Texas,Strongly favor,Somewhat favor,99,Yes,No concerns
10130,0.8593,Democrat,30-49,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Strongly oppose,No,Uses too much land
10131,0.6274,Republican,65+,Some college,Suburban,Louisiana,Strongly favor,Somewhat favor,Strongly oppose,No,No concerns
10132,1.7677,Democrat,30-49,High school or less,Rural,Texas,Somewhat favor,Strongly favor,Strongly favor,No,Uses too much land
10133,0.3365,Republican,65+,College graduate or more,Suburban,Oklahoma,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
10134,0.5438,Democrat,30-49,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10135,0.4627,Democrat,50-64,College graduate or more,Rural,Louisiana,Somewhat oppose,Strongly favor,Somewhat oppose,No,No concerns
10136,0.3993,Democrat,50-64,College graduate or more,Suburban,Oklahoma,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10137,1.6517,Republican,30-49,Some college,Rural,Texas,Somewhat oppose,Somewhat favor,Strongly favor,No,No concerns
10138,1.8926,Independent,18-29,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10139,0.3564,Independent,50-64,College graduate or more,Suburban,Oklahoma,Strongly favor,Strongly oppose,Strongly oppose,No,Worried about property values
10140,1.0101,Republican,65+,High school or less,Suburban,Texas,Strongly oppose,Strongly oppose,Somewhat oppose,No,Something else
10141,0.9012,Independent,65+,High school or less,Rural,Texas,Strongly favor,Somewhat oppose,99,No,Worried about property values
10142,0.825,Republican,50-64,High school or less,Suburban,Oklahoma,Strongly favor,Somewhat favor,99,No,No concerns
10143,1.7286,Republican,30-49,High school or less,Suburban,Kansas,Somewhat favor,Somewhat oppose,Somewhat oppose,No,Uses too much land
10144,0.5961,Democrat,30-49,College graduate or more,Urban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10145,1.8957,Democrat,18-29,High school or less,Urban,Kansas,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10146,1.0008,Democrat,30-49,High school or less,Urban,Texas,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
10147,2.062,Democrat,18-29,High school or less,Urban,Oklahoma,Somewhat favor,Strongly favor,Somewhat favor,No,Uses too much land
10148,0.6128,Republican,30-49,College graduate or more,Urban,Missouri,Somewhat favor,Somewhat oppose,Somewhat oppose,Yes,Changes how the area looks
10149,0.422,Democrat,30-49,College graduate or more,Suburban,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10150,0.7127,Republican,65+,Some college,Suburban,Oklahoma,Somewhat favor,Strongly oppose,Somewhat favor,No,Something else
10151,3.1204,Democrat,18-29,High school or less,Rural,Texas,Somewhat favor,Strongly favor,Strongly favor,No,Changes how the area looks
10152,1.3305,Republican,30-49,High school or less,Urban,Oklahoma,Somewhat oppose,Somewhat oppose,Strongly oppose,Yes,Doubts it is reliable
10153,1.166,Democrat,30-49,High school or less,Urban,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,No concerns
10154,0.5721,Democrat,30-49,College graduate or more,Rural,Texas,Somewhat favor,Somewhat favor,Somewhat favor,Yes,Worried about property values
10155,0.8082,Republican,50-64,Some college,Suburban,Oklahoma,Somewhat favor,Somewhat oppose,Strongly favor,No,Worried about property values
10156,0.8214,Republican,65+,High school or less,Urban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
10157,0.6133,Independent,30-49,College graduate or more,Suburban,Louisiana,Strongly favor,Strongly favor,Somewhat favor,No,Uses too much land
10158,0.3275,Democrat,65+,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10159,0.7959,Democrat,30-49,College graduate or more,Rural,Texas,Strongly favor,Strongly favor,Strongly favor,No,No concerns
10160,1.0175,Independent,50-64,High school or less,Rural,Texas,Strongly favor,Somewhat favor,Somewhat favor,No,Changes how the area looks
10161,0.2769,Democrat,65+,College graduate or more,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,Yes,Uses too much land
10162,1.1944,Republican,18-29,College graduate or more,Rural,Louisiana,Strongly oppose,Somewhat oppose,99,No,Doubts it is reliable
10163,0.6485,Democrat,30-49,College graduate or more,Rural,Kansas,Somewhat favor,Somewhat favor,Somewhat favor,No,No concerns
10164,1.2547,Republican,30-49,High school or less,Suburban,Texas,Somewhat favor,Strongly favor,Somewhat favor,Yes,Changes how the area looks
10165,0.9975,Republican,65+,High school or less,Urban,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Worried about property values
10166,0.9869,Republican,50-64,Some college,Rural,Kansas,Somewhat oppose,Strongly oppose,Somewhat oppose,Yes,Worried about property values
10167,1.1765,Democrat,18-29,Some college,Urban,Texas,Strongly favor,Strongly favor,Somewhat favor,No,Something else
10168,1.6385,Democrat,30-49,High school or less,Rural,Arkansas,Strongly favor,Strongly favor,Somewhat oppose,No,Changes how the area looks
10169,0.7058,Democrat,50-64,High school or less,Urban,Louisiana,Strongly favor,Strongly favor,Strongly favor,No,Uses too much land
10170,0.6852,Independent,30-49,College graduate or more,Urban,Missouri,Somewhat oppose,Strongly favor,Somewhat favor,No,No concerns
10171,0.9139,Independent,65+,High school or less,Urban,Arkansas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10172,0.7854,Republican,65+,High school or less,Suburban,Louisiana,Somewhat oppose,Strongly oppose,Strongly oppose,No,Worried about property values
10173,0.9782,Democrat,50-64,High school or less,Urban,Missouri,Strongly favor,Somewhat favor,Strongly favor,No,No concerns
10174,0.4016,Democrat,50-64,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Strongly favor,Yes,No concerns
10175,0.5553,Independent,30-49,College graduate or more,Suburban,Arkansas,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10176,0.4972,Republican,50-64,Some college,Suburban,Texas,Strongly favor,Somewhat favor,Somewhat oppose,No,Changes how the area looks
10177,1.4091,Republican,30-49,High school or less,Suburban,Kansas,Somewhat favor,Strongly favor,Strongly favor,No,Changes how the area looks
10178,0.7706,Republican,65+,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,No concerns
10179,2.1992,Democrat,18-29,High school or less,Suburban,Missouri,Somewhat favor,Strongly favor,Somewhat oppose,No,Worried about property values
10180,2.0258,Independent,18-29,Some college,Urban,Texas,Strongly favor,Somewhat oppose,Somewhat favor,Yes,Uses too much land
10181,0.5336,Republican,50-64,College graduate or more,Urban,Texas,Somewhat favor,Somewhat oppose,Somewhat favor,No,Something else
10182,0.7066,Republican,30-49,College graduate or more,Urban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,Uses too much land
10183,0.989,Republican,30-49,College graduate or more,Rural,Texas,Somewhat favor,Somewhat oppose,Somewhat oppose,Yes,Doubts it is reliable
10184,1.9922,Independent,18-29,Some college,Urban,Louisiana,Somewhat favor,Strongly favor,Strongly favor,No,Worried about property values
10185,1.6695,Republican,18-29,Some college,Suburban,Louisiana,Somewhat oppose,Somewhat favor,99,No,No concerns
10186,0.3202,Democrat,65+,Some college,Urban,Texas,Strongly favor,Somewhat oppose,Strongly favor,No,Changes how the area looks
10187,0.9796,Republican,50-64,Some college,Urban,Oklahoma,Strongly oppose,Strongly favor,Somewhat favor,Yes,No concerns
10188,0.8434,Democrat,65+,High school or less,Suburban,Kansas,Strongly favor,Somewhat oppose,Strongly favor,No,Uses too much land
10189,0.6616,Independent,50-64,Some college,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly oppose,No,Uses too much land
10190,0.8588,Democrat,18-29,College graduate or more,Suburban,Kansas,Somewhat favor,Somewhat favor,Strongly favor,No,No concerns
10191,0.972,Republican,50-64,High school or less,Suburban,Louisiana,Strongly favor,Somewhat oppose,Somewhat oppose,No,Doubts it is reliable
10192,1.8451,Republican,18-29,High school or less,Suburban,Oklahoma,Strongly oppose,99,Strongly oppose,No,No concerns
10193,0.4301,Republican,65+,College graduate or more,Urban,Texas,Somewhat favor,Somewhat oppose,Strongly oppose,No,Doubts it is reliable
10194,0.5186,Independent,50-64,College graduate or more,Suburban,Texas,Somewhat favor,Somewhat favor,Strongly favor,No,Something else
10195,0.5447,Republican,65+,Some college,Urban,Kansas,Strongly favor,Somewhat oppose,Strongly oppose,No,Uses too much land
10196,1.1937,Democrat,18-29,Some college,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,Worried about property values
10197,1.6418,Republican,30-49,High school or less,Suburban,Texas,Strongly favor,Strongly favor,Somewhat oppose,No,Changes how the area looks
10198,1.0414,Republican,50-64,High school or less,Suburban,Texas,Strongly favor,Somewhat oppose,Strongly oppose,No,Uses too much land
10199,0.6284,Democrat,50-64,Some college,Suburban,Kansas,Somewhat favor,Strongly favor,Strongly favor,No,Worried about property values
10200,0.4523,Democrat,50-64,College graduate or more,Urban,Kansas,Strongly favor,Somewhat oppose,Somewhat favor,No,Uses too much land
10201,2.0031,Independent,30-49,High school or less,Rural,Louisiana,Strongly favor,Somewhat favor,Somewhat favor,Yes,No concerns
10202,0.5436,Republican,50-64,College graduate or more,Rural,Oklahoma,Strongly favor,Strongly oppose,Strongly oppose,No,Uses too much land
10203,1.1882,Independent,30-49,High school or less,Suburban,Missouri,Somewhat favor,Strongly favor,Somewhat favor,No,No concerns
10204,1.6851,Republican,18-29,High school or less,Suburban,Missouri,Strongly favor,Strongly oppose,Somewhat oppose,Yes,Changes how the area looks
10205,1.0108,Republican,18-29,College graduate or more,Suburban,Arkansas,Strongly oppose,Somewhat oppose,Strongly oppose,No,Changes how the area looks
10206,0.6453,Republican,65+,High school or less,Suburban,Arkansas,Somewhat favor,Somewhat oppose,Strongly favor,No,Doubts it is reliable
10207,0.38,Democrat,50-64,College graduate or more,Suburban,Kansas,Strongly favor,Somewhat favor,Somewhat favor,No,Something else
10208,0.7131,Republican,30-49,College graduate or more,Suburban,Oklahoma,Strongly favor,Somewhat favor,Somewhat oppose,No,Changes how the area looks
10209,1.1171,Republican,30-49,Some college,Urban,Texas,Somewhat oppose,Somewhat oppose,Somewhat oppose,No,Uses too much land
10210,1.7088,Independent,30-49,High school or less,Suburban,Texas,Strongly favor,Somewhat favor,Strongly favor,No,Changes how the area looks
10211,0.7424,Democrat,18-29,College graduate or more,Suburban,Arkansas,Somewhat favor,Somewhat favor,Strongly favor,No,Something else
10212,0.4734,Democrat,30-49,College graduate or more,Urban,Oklahoma,Somewhat favor,Somewhat favor,Somewhat favor,Yes,No concerns
10213,0.8152,Republican,30-49,College graduate or more,Rural,Texas,Strongly oppose,Strongly oppose,Strongly favor,No,Doubts it is reliable
10214,0.6758,Independent,30-49,College graduate or more,Rural,Texas,Strongly favor,Somewhat oppose,Strongly oppose,No,Uses too much land
10215,0.4486,Republican,65+,College graduate or more,Suburban,Louisiana,Strongly oppose,Somewhat oppose,Strongly oppose,No,Uses too much land
10216,0.7666,Republican,30-49,College graduate or more,Rural,Texas,Strongly favor,Somewhat oppose,Somewhat oppose,No,Worried about property values
10217,2.7984,Democrat,18-29,High school or less,Rural,Texas,Somewhat favor,Strongly favor,Somewhat oppose,No,No concerns
10218,0.663,Democrat,50-64,Some college,Suburban,Texas,Strongly favor,Strongly favor,Strongly favor,Yes,Uses too much land
